TransactionDate,Year,Month,Day,Weekday
2023-12-25 08:52:00,2023,12,25,Monday
2024-04-04 19:47:00,2024,4,4,Thursday
2024-03-07 16:39:00,2024,3,7,Thursday
2024-04-16 15:38:00,2024,4,16,Tuesday
2024-03-18 04:21:00,2024,3,18,Monday
2024-02-14 02:31:00,2024,2,14,Wednesday
2023-06-25 18:33:00,2023,6,25,Sunday
2023-04-30 23:05:00,2023,4,30,Sunday
2024-04-10 14:34:00,2024,4,10,Wednesday
2023-12-21 07:20:00,2023,12,21,Thursday
2024-04-05 15:08:00,2024,4,5,Friday
2023-09-04 13:13:00,2023,9,4,Monday
2023-07-17 00:14:00,2023,7,17,Monday
2023-10-31 22:29:00,2023,10,31,Tuesday
2023-07-14 05:24:00,2023,7,14,Friday
2023-05-14 21:26:00,2023,5,14,Sunday
2024-04-22 20:17:00,2024,4,22,Monday
2023-10-26 11:08:00,2023,10,26,Thursday
2023-09-27 07:44:00,2023,9,27,Wednesday
2023-05-16 20:51:00,2023,5,16,Tuesday
2024-01-18 00:48:00,2024,1,18,Thursday
2023-09-21 18:12:00,2023,9,21,Thursday
2024-02-14 19:55:00,2024,2,14,Wednesday
2024-03-14 23:01:00,2024,3,14,Thursday
2024-03-26 12:19:00,2024,3,26,Tuesday
2023-05-27 00:55:00,2023,5,27,Saturday
2023-07-10 18:20:00,2023,7,10,Monday
2023-04-30 03:45:00,2023,4,30,Sunday
2023-05-01 05:28:00,2023,5,1,Monday
2024-04-24 07:39:00,2024,4,24,Wednesday
2023-08-23 10:06:00,2023,8,23,Wednesday
2024-02-14 10:53:00,2024,2,14,Wednesday
2023-07-25 22:10:00,2023,7,25,Tuesday
2023-04-30 08:37:00,2023,4,30,Sunday
2023-07-13 16:58:00,2023,7,13,Thursday
2024-02-26 18:07:00,2024,2,26,Monday
2023-08-08 09:09:00,2023,8,8,Tuesday
2023-08-09 16:33:00,2023,8,9,Wednesday
2023-11-21 17:28:00,2023,11,21,Tuesday
2023-06-18 05:21:00,2023,6,18,Sunday
2023-12-26 10:38:00,2023,12,26,Tuesday
2023-07-15 10:46:00,2023,7,15,Saturday
2023-07-15 04:43:00,2023,7,15,Saturday
2024-04-24 16:11:00,2024,4,24,Wednesday
2023-08-27 06:15:00,2023,8,27,Sunday
2023-10-01 17:37:00,2023,10,1,Sunday
2023-11-02 23:08:00,2023,11,2,Thursday
2023-11-04 20:22:00,2023,11,4,Saturday
2023-11-08 11:05:00,2023,11,8,Wednesday
2023-09-27 06:07:00,2023,9,27,Wednesday
2024-01-06 14:44:00,2024,1,6,Saturday
2023-12-15 21:11:00,2023,12,15,Friday
2023-12-30 03:24:00,2023,12,30,Saturday
2023-10-21 07:25:00,2023,10,21,Saturday
2023-06-30 16:07:00,2023,6,30,Friday
2024-02-18 13:16:00,2024,2,18,Sunday
2023-10-19 10:30:00,2023,10,19,Thursday
2024-03-17 22:26:00,2024,3,17,Sunday
2024-04-01 20:40:00,2024,4,1,Monday
2023-08-23 20:10:00,2023,8,23,Wednesday
2023-07-08 06:30:00,2023,7,8,Saturday
2024-02-13 11:05:00,2024,2,13,Tuesday
2023-07-04 21:42:00,2023,7,4,Tuesday
2024-04-07 23:31:00,2024,4,7,Sunday
2024-01-04 09:55:00,2024,1,4,Thursday
2024-03-02 16:43:00,2024,3,2,Saturday
2024-04-26 20:41:00,2024,4,26,Friday
2024-01-01 04:54:00,2024,1,1,Monday
2024-01-13 00:12:00,2024,1,13,Saturday
2023-09-07 20:39:00,2023,9,7,Thursday
2023-09-13 18:24:00,2023,9,13,Wednesday
2023-12-15 11:50:00,2023,12,15,Friday
2024-01-31 05:20:00,2024,1,31,Wednesday
2024-03-12 08:04:00,2024,3,12,Tuesday
2023-11-26 23:27:00,2023,11,26,Sunday
2024-01-17 02:24:00,2024,1,17,Wednesday
2023-05-04 08:39:00,2023,5,4,Thursday
2023-06-16 08:27:00,2023,6,16,Friday
2024-01-07 23:48:00,2024,1,7,Sunday
2024-03-10 06:43:00,2024,3,10,Sunday
2024-03-03 00:35:00,2024,3,3,Sunday
2023-07-24 10:33:00,2023,7,24,Monday
2023-07-03 13:45:00,2023,7,3,Monday
2023-06-28 04:08:00,2023,6,28,Wednesday
2023-11-29 18:39:00,2023,11,29,Wednesday
2023-09-27 23:27:00,2023,9,27,Wednesday
2023-12-21 20:25:00,2023,12,21,Thursday
2024-04-01 11:29:00,2024,4,1,Monday
2023-09-22 16:40:00,2023,9,22,Friday
2023-11-20 21:35:00,2023,11,20,Monday
2023-11-11 08:07:00,2023,11,11,Saturday
2023-06-08 01:56:00,2023,6,8,Thursday
2024-01-06 11:00:00,2024,1,6,Saturday
2023-08-03 17:21:00,2023,8,3,Thursday
2023-09-16 14:57:00,2023,9,16,Saturday
2023-05-04 22:19:00,2023,5,4,Thursday
2023-05-28 14:13:00,2023,5,28,Sunday
2023-11-08 16:16:00,2023,11,8,Wednesday
2023-06-03 06:42:00,2023,6,3,Saturday
2023-10-24 12:00:00,2023,10,24,Tuesday
2024-03-18 14:58:00,2024,3,18,Monday
2024-02-12 04:51:00,2024,2,12,Monday
2023-12-11 08:12:00,2023,12,11,Monday
2024-02-17 16:24:00,2024,2,17,Saturday
2023-08-16 05:01:00,2023,8,16,Wednesday
2023-09-04 03:30:00,2023,9,4,Monday
2023-07-06 01:28:00,2023,7,6,Thursday
2023-06-16 04:55:00,2023,6,16,Friday
2023-08-17 23:40:00,2023,8,17,Thursday
2023-10-16 19:48:00,2023,10,16,Monday
2023-07-19 00:42:00,2023,7,19,Wednesday
2023-09-22 04:19:00,2023,9,22,Friday
2024-03-02 23:22:00,2024,3,2,Saturday
2023-04-29 22:27:00,2023,4,29,Saturday
2023-10-07 23:28:00,2023,10,7,Saturday
2023-08-11 04:40:00,2023,8,11,Friday
2023-09-02 17:55:00,2023,9,2,Saturday
2024-03-28 20:34:00,2024,3,28,Thursday
2024-01-08 06:32:00,2024,1,8,Monday
2023-10-04 09:04:00,2023,10,4,Wednesday
2023-05-09 05:00:00,2023,5,9,Tuesday
2024-03-23 06:38:00,2024,3,23,Saturday
2023-12-27 01:43:00,2023,12,27,Wednesday
2023-10-04 16:54:00,2023,10,4,Wednesday
2023-12-20 23:09:00,2023,12,20,Wednesday
2023-06-15 08:27:00,2023,6,15,Thursday
2023-12-25 05:36:00,2023,12,25,Monday
2023-09-13 07:40:00,2023,9,13,Wednesday
2024-02-21 23:43:00,2024,2,21,Wednesday
2024-01-22 15:15:00,2024,1,22,Monday
2023-07-29 09:44:00,2023,7,29,Saturday
2024-03-06 17:52:00,2024,3,6,Wednesday
2024-03-26 17:55:00,2024,3,26,Tuesday
2024-01-07 09:23:00,2024,1,7,Sunday
2024-03-10 19:53:00,2024,3,10,Sunday
2023-06-16 04:00:00,2023,6,16,Friday
2023-05-26 06:01:00,2023,5,26,Friday
2023-12-01 05:18:00,2023,12,1,Friday
2023-11-19 13:13:00,2023,11,19,Sunday
2023-07-29 09:24:00,2023,7,29,Saturday
2023-10-18 20:16:00,2023,10,18,Wednesday
2023-09-17 11:15:00,2023,9,17,Sunday
2023-12-24 19:33:00,2023,12,24,Sunday
2023-07-16 14:22:00,2023,7,16,Sunday
2023-11-28 21:55:00,2023,11,28,Tuesday
2024-03-31 09:00:00,2024,3,31,Sunday
2023-10-16 03:51:00,2023,10,16,Monday
2024-03-10 15:06:00,2024,3,10,Sunday
2023-09-09 15:31:00,2023,9,9,Saturday
2023-05-16 04:25:00,2023,5,16,Tuesday
2023-12-16 17:58:00,2023,12,16,Saturday
2023-12-28 09:49:00,2023,12,28,Thursday
2023-09-23 17:28:00,2023,9,23,Saturday
2024-04-21 22:36:00,2024,4,21,Sunday
2023-07-20 16:20:00,2023,7,20,Thursday
2023-11-14 02:30:00,2023,11,14,Tuesday
2023-06-30 02:32:00,2023,6,30,Friday
2024-01-12 14:11:00,2024,1,12,Friday
2024-02-24 02:22:00,2024,2,24,Saturday
2023-10-26 05:06:00,2023,10,26,Thursday
2023-12-01 16:58:00,2023,12,1,Friday
2024-03-24 21:10:00,2024,3,24,Sunday
2023-08-04 20:22:00,2023,8,4,Friday
2024-02-04 15:10:00,2024,2,4,Sunday
2023-12-02 12:00:00,2023,12,2,Saturday
2024-04-18 08:39:00,2024,4,18,Thursday
2024-02-23 21:54:00,2024,2,23,Friday
2024-01-11 14:56:00,2024,1,11,Thursday
2023-08-29 14:24:00,2023,8,29,Tuesday
2023-05-28 22:28:00,2023,5,28,Sunday
2023-05-20 07:10:00,2023,5,20,Saturday
2023-07-03 01:25:00,2023,7,3,Monday
2023-08-13 07:13:00,2023,8,13,Sunday
2024-03-22 02:16:00,2024,3,22,Friday
2024-02-22 07:13:00,2024,2,22,Thursday
2023-12-08 04:47:00,2023,12,8,Friday
2023-06-23 11:29:00,2023,6,23,Friday
2023-12-24 16:41:00,2023,12,24,Sunday
2023-10-11 17:32:00,2023,10,11,Wednesday
2023-07-28 17:43:00,2023,7,28,Friday
2023-08-14 11:52:00,2023,8,14,Monday
2024-04-04 12:07:00,2024,4,4,Thursday
2023-11-21 06:43:00,2023,11,21,Tuesday
2024-02-28 19:02:00,2024,2,28,Wednesday
2023-07-19 06:15:00,2023,7,19,Wednesday
2023-11-08 17:38:00,2023,11,8,Wednesday
2023-06-23 18:08:00,2023,6,23,Friday
2024-03-30 14:05:00,2024,3,30,Saturday
2024-03-29 15:08:00,2024,3,29,Friday
2023-08-03 08:24:00,2023,8,3,Thursday
2024-03-05 17:45:00,2024,3,5,Tuesday
2023-06-04 02:20:00,2023,6,4,Sunday
2023-06-12 07:51:00,2023,6,12,Monday
2023-08-22 16:06:00,2023,8,22,Tuesday
2023-07-17 10:09:00,2023,7,17,Monday
2023-05-05 23:02:00,2023,5,5,Friday
2023-05-24 17:07:00,2023,5,24,Wednesday
2023-06-19 22:09:00,2023,6,19,Monday
2024-02-20 09:26:00,2024,2,20,Tuesday
2023-08-25 00:47:00,2023,8,25,Friday
2023-07-23 08:20:00,2023,7,23,Sunday
2023-06-22 06:55:00,2023,6,22,Thursday
2024-04-11 09:13:00,2024,4,11,Thursday
2024-03-07 14:51:00,2024,3,7,Thursday
2024-04-25 02:02:00,2024,4,25,Thursday
2023-05-31 07:13:00,2023,5,31,Wednesday
2024-02-18 17:30:00,2024,2,18,Sunday
2023-06-26 03:31:00,2023,6,26,Monday
2023-09-13 14:53:00,2023,9,13,Wednesday
2023-11-13 14:02:00,2023,11,13,Monday
2023-10-11 10:02:00,2023,10,11,Wednesday
2023-11-05 09:04:00,2023,11,5,Sunday
2023-06-03 04:55:00,2023,6,3,Saturday
2023-05-05 22:19:00,2023,5,5,Friday
2023-07-02 21:53:00,2023,7,2,Sunday
2023-11-17 20:51:00,2023,11,17,Friday
2023-12-14 02:33:00,2023,12,14,Thursday
2023-07-27 03:38:00,2023,7,27,Thursday
2023-08-28 02:47:00,2023,8,28,Monday
2024-03-02 04:02:00,2024,3,2,Saturday
2023-05-14 21:18:00,2023,5,14,Sunday
2024-02-07 00:31:00,2024,2,7,Wednesday
2023-11-16 05:00:00,2023,11,16,Thursday
2023-09-23 03:19:00,2023,9,23,Saturday
2024-02-23 09:37:00,2024,2,23,Friday
2023-08-04 05:16:00,2023,8,4,Friday
2024-03-01 07:10:00,2024,3,1,Friday
2023-08-23 10:36:00,2023,8,23,Wednesday
2024-02-11 18:46:00,2024,2,11,Sunday
2023-09-15 17:27:00,2023,9,15,Friday
2024-03-23 17:45:00,2024,3,23,Saturday
2023-09-12 09:39:00,2023,9,12,Tuesday
2024-02-22 14:45:00,2024,2,22,Thursday
2023-06-12 10:51:00,2023,6,12,Monday
2023-06-17 07:45:00,2023,6,17,Saturday
2023-08-29 16:09:00,2023,8,29,Tuesday
2023-11-16 01:14:00,2023,11,16,Thursday
2024-02-02 17:44:00,2024,2,2,Friday
2024-01-10 08:16:00,2024,1,10,Wednesday
2024-02-11 19:27:00,2024,2,11,Sunday
2023-08-06 15:25:00,2023,8,6,Sunday
2023-06-01 21:03:00,2023,6,1,Thursday
2023-12-19 15:45:00,2023,12,19,Tuesday
2024-03-25 00:23:00,2024,3,25,Monday
2023-09-10 12:11:00,2023,9,10,Sunday
2023-08-07 08:27:00,2023,8,7,Monday
2023-05-25 00:41:00,2023,5,25,Thursday
2024-01-12 03:29:00,2024,1,12,Friday
2024-02-14 12:38:00,2024,2,14,Wednesday
2023-11-17 13:15:00,2023,11,17,Friday
2023-09-20 22:27:00,2023,9,20,Wednesday
2023-12-31 16:27:00,2023,12,31,Sunday
2023-11-11 11:23:00,2023,11,11,Saturday
2024-04-06 12:16:00,2024,4,6,Saturday
2023-11-30 21:50:00,2023,11,30,Thursday
2023-05-04 19:55:00,2023,5,4,Thursday
2023-07-23 03:08:00,2023,7,23,Sunday
2023-12-23 05:35:00,2023,12,23,Saturday
2023-11-15 23:12:00,2023,11,15,Wednesday
2023-09-24 02:09:00,2023,9,24,Sunday
2023-12-08 21:06:00,2023,12,8,Friday
2023-08-09 09:09:00,2023,8,9,Wednesday
2024-02-26 21:53:00,2024,2,26,Monday
2023-08-20 13:58:00,2023,8,20,Sunday
2023-07-14 13:45:00,2023,7,14,Friday
2024-04-18 10:34:00,2024,4,18,Thursday
2023-05-24 04:02:00,2023,5,24,Wednesday
2023-11-03 11:50:00,2023,11,3,Friday
2023-11-03 12:41:00,2023,11,3,Friday
2024-01-06 10:39:00,2024,1,6,Saturday
2024-02-15 12:29:00,2024,2,15,Thursday
2024-03-26 17:50:00,2024,3,26,Tuesday
2023-10-22 08:54:00,2023,10,22,Sunday
2023-06-29 22:19:00,2023,6,29,Thursday
2024-03-19 07:41:00,2024,3,19,Tuesday
2024-02-16 22:04:00,2024,2,16,Friday
2024-04-08 05:26:00,2024,4,8,Monday
2023-12-24 02:05:00,2023,12,24,Sunday
2024-04-13 20:13:00,2024,4,13,Saturday
2023-12-16 12:39:00,2023,12,16,Saturday
2023-11-16 16:04:00,2023,11,16,Thursday
2023-10-15 12:46:00,2023,10,15,Sunday
2024-01-07 00:58:00,2024,1,7,Sunday
2024-01-08 20:56:00,2024,1,8,Monday
2023-05-11 20:52:00,2023,5,11,Thursday
2023-11-02 07:49:00,2023,11,2,Thursday
2023-11-24 04:10:00,2023,11,24,Friday
2024-02-19 16:41:00,2024,2,19,Monday
2024-01-08 06:35:00,2024,1,8,Monday
2023-12-01 22:09:00,2023,12,1,Friday
2023-09-18 03:27:00,2023,9,18,Monday
2023-10-08 23:27:00,2023,10,8,Sunday
2023-11-23 03:01:00,2023,11,23,Thursday
2023-05-30 11:03:00,2023,5,30,Tuesday
2023-11-18 17:11:00,2023,11,18,Saturday
2024-04-12 00:55:00,2024,4,12,Friday
2023-09-01 18:11:00,2023,9,1,Friday
2024-01-16 02:40:00,2024,1,16,Tuesday
2023-09-06 08:24:00,2023,9,6,Wednesday
2023-12-17 22:28:00,2023,12,17,Sunday
2023-05-29 21:15:00,2023,5,29,Monday
2024-01-08 01:11:00,2024,1,8,Monday
2023-12-24 13:57:00,2023,12,24,Sunday
2023-05-19 09:57:00,2023,5,19,Friday
2024-04-19 22:20:00,2024,4,19,Friday
2023-06-13 11:29:00,2023,6,13,Tuesday
2023-09-28 20:49:00,2023,9,28,Thursday
2023-05-22 17:52:00,2023,5,22,Monday
2024-02-04 21:59:00,2024,2,4,Sunday
2024-03-26 14:00:00,2024,3,26,Tuesday
2023-08-31 02:35:00,2023,8,31,Thursday
2024-04-25 19:54:00,2024,4,25,Thursday
2024-01-25 15:31:00,2024,1,25,Thursday
2023-12-01 18:26:00,2023,12,1,Friday
2024-02-05 21:20:00,2024,2,5,Monday
2024-02-23 13:01:00,2024,2,23,Friday
2023-12-07 11:50:00,2023,12,7,Thursday
2024-03-22 15:30:00,2024,3,22,Friday
2023-05-03 01:55:00,2023,5,3,Wednesday
2024-03-02 06:44:00,2024,3,2,Saturday
2023-07-26 09:09:00,2023,7,26,Wednesday
2024-01-10 02:42:00,2024,1,10,Wednesday
2023-08-28 13:04:00,2023,8,28,Monday
2023-06-01 08:26:00,2023,6,1,Thursday
2023-07-19 08:33:00,2023,7,19,Wednesday
2023-09-28 10:53:00,2023,9,28,Thursday
2024-02-07 08:13:00,2024,2,7,Wednesday
2023-09-24 00:49:00,2023,9,24,Sunday
2023-11-16 07:53:00,2023,11,16,Thursday
2023-10-31 17:03:00,2023,10,31,Tuesday
2023-09-05 05:14:00,2023,9,5,Tuesday
2024-01-25 05:29:00,2024,1,25,Thursday
2024-02-05 23:44:00,2024,2,5,Monday
2023-12-07 06:53:00,2023,12,7,Thursday
2023-10-26 01:05:00,2023,10,26,Thursday
2024-04-21 14:57:00,2024,4,21,Sunday
2024-03-28 05:59:00,2024,3,28,Thursday
2023-10-08 13:01:00,2023,10,8,Sunday
2023-06-19 11:30:00,2023,6,19,Monday
2023-10-03 05:36:00,2023,10,3,Tuesday
2024-04-16 13:41:00,2024,4,16,Tuesday
2023-09-23 04:20:00,2023,9,23,Saturday
2024-03-27 09:51:00,2024,3,27,Wednesday
2023-12-29 01:04:00,2023,12,29,Friday
2024-04-25 02:37:00,2024,4,25,Thursday
